epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.372,1.62248,2.25933,1.34984,0.63041,0.64462,0.63925,0.373,1.34363,1.78328,1.22216,0.000554356,0.000554356,0.000554356
2,487.564,1.38552,1.44585,1.20132,0.81414,0.72807,0.82379,0.46829,1.34593,1.29537,1.21948,0.00105508,0.00105508,0.00105508
3,718.959,1.38522,1.37454,1.18805,0.78294,0.69834,0.78999,0.47055,1.27074,1.47226,1.14911,0.00150079,0.00150079,0.00150079
4,951.878,1.33696,1.22698,1.17184,0.79316,0.7141,0.80853,0.49196,1.24991,1.11331,1.20291,0.00141945,0.00141945,0.00141945
5,1184.2,1.29578,1.12266,1.15267,0.87189,0.72911,0.8281,0.50721,1.18688,0.93423,1.12069,0.00133693,0.00133693,0.00133693
6,1425.33,1.29285,1.06319,1.13422,0.8645,0.76354,0.85036,0.55094,1.15279,0.94429,1.10224,0.00125442,0.00125442,0.00125442
7,1679.6,1.24764,0.97268,1.13564,0.8519,0.79797,0.84052,0.54676,1.15318,0.94454,1.08688,0.0011719,0.0011719,0.0011719
8,1877,1.22253,0.90595,1.10495,0.89139,0.81446,0.87864,0.54759,1.16492,0.86816,1.10529,0.00108938,0.00108938,0.00108938
9,2067.11,1.22415,0.90745,1.11389,0.89498,0.82899,0.87397,0.59464,1.07944,0.73856,1.06819,0.00100687,0.00100687,0.00100687
10,2254.74,1.20889,0.85934,1.09736,0.87634,0.84586,0.89632,0.59422,1.12513,0.71311,1.06664,0.000924352,0.000924352,0.000924352
11,2440.39,1.14949,0.8615,1.08709,0.80171,0.81997,0.81872,0.53264,1.17085,0.83654,1.09965,0.000841835,0.000841835,0.000841835
12,2626.51,1.12176,0.77807,1.06814,0.89444,0.83268,0.89185,0.56716,1.15489,0.71656,1.09044,0.000759318,0.000759318,0.000759318
13,2811.32,1.10045,0.75383,1.06998,0.93355,0.81888,0.90098,0.59568,1.08349,0.64637,1.05445,0.000676802,0.000676802,0.000676802
14,2996.35,1.09924,0.73241,1.04943,0.87148,0.84503,0.90051,0.60412,1.05491,0.6587,1.04062,0.000594286,0.000594286,0.000594286
15,3181.94,1.07944,0.69883,1.05151,0.91825,0.77423,0.90576,0.61441,1.04562,0.61845,1.0343,0.000511769,0.000511769,0.000511769
16,3368.36,1.05527,0.68722,1.04606,0.90193,0.79679,0.90203,0.62198,1.01061,0.62573,1.00857,0.000429253,0.000429253,0.000429253
17,3556.03,1.06114,0.66268,1.03641,0.87863,0.83466,0.91401,0.62473,1.02607,0.58234,1.01224,0.000346736,0.000346736,0.000346736
18,3742.7,1.01859,0.62626,1.01539,0.88008,0.8482,0.91987,0.63952,0.97312,0.56228,1.00077,0.00026422,0.00026422,0.00026422
19,3928.42,1.00121,0.63046,1.00961,0.86565,0.854,0.91508,0.63523,0.99223,0.54759,1.00081,0.000181703,0.000181703,0.000181703
20,4112.24,1.00659,0.59353,1.00967,0.87583,0.86415,0.92611,0.65277,0.94711,0.53227,0.98064,9.91865e-05,9.91865e-05,9.91865e-05
